occ1990dd,onet_soc,weight,confidence_tier,emp_1980
4,11-1011.03,0.5,medium,0.000478024
4,11-1011.00,0.5,medium,0.000478024
7,11-3031.01,0.3333333333333333,medium,0.004716991
7,11-3031.03,0.3333333333333333,medium,0.004716991
7,11-3031.00,0.3333333333333333,medium,0.004716991
8,11-3121.00,1.0,high,0.0025571447
13,11-2021.00,0.5,medium,0.009835052
13,11-2022.00,0.5,medium,0.009835052
14,11-9032.00,0.3333333333333333,medium,0.0042971014
14,11-9033.00,0.3333333333333333,medium,0.0042971014
14,11-9031.00,0.3333333333333333,medium,0.0042971014
15,11-9111.00,1.0,high,0.0012484193
18,11-9141.00,1.0,high,0.0019452682
19,39-4031.00,1.0,high,0.00049125886
22,11-9199.10,0.16666666666666666,low,0.065380506
22,11-9199.08,0.16666666666666666,low,0.065380506
22,11-9199.11,0.16666666666666666,low,0.065380506
22,11-9199.09,0.16666666666666666,low,0.065380506
22,11-9199.02,0.16666666666666666,low,0.065380506
22,11-9199.01,0.16666666666666666,low,0.065380506
23,13-2011.00,0.3333333333333333,medium,0.010684684
23,13-2099.04,0.3333333333333333,medium,0.010684684
23,13-2099.01,0.3333333333333333,medium,0.010684684
24,13-2053.00,1.0,high,0.00019594833
25,13-2072.00,0.5,medium,0.004288804
25,13-2071.00,0.5,medium,0.004288804
26,13-1111.00,1.0,high,0.001239599
27,13-1071.00,0.3333333333333333,medium,0.004577156
27,13-1074.00,0.3333333333333333,medium,0.004577156
27,13-1075.00,0.3333333333333333,medium,0.004577156
28,13-1021.00,1.0,high,0.00022322008
29,13-1022.00,1.0,high,0.0018375773
33,13-1023.00,1.0,high,0.0030383393
34,13-1011.00,1.0,high,0.00021561174
35,47-4011.00,0.5,medium,0.0005233111
35,47-4011.01,0.5,medium,0.0005233111
36,13-1041.06,0.14285714285714285,low,0.0016965931
36,13-1041.07,0.14285714285714285,low,0.0016965931
36,13-1041.00,0.14285714285714285,low,0.0016965931
36,13-1041.03,0.14285714285714285,low,0.0016965931
36,13-1041.04,0.14285714285714285,low,0.0016965931
36,13-1041.01,0.14285714285714285,low,0.0016965931
36,13-1041.08,0.14285714285714285,low,0.0016965931
37,13-1199.07,0.25,medium,0.00033436064
37,13-1199.04,0.25,medium,0.00033436064
37,13-1199.05,0.25,medium,0.00033436064
37,13-1199.06,0.25,medium,0.00033436064
43,17-1011.00,0.5,medium,0.0012035511
43,17-1012.00,0.5,medium,0.0012035511
44,17-2011.00,1.0,high,0.000984023
45,17-2131.00,1.0,high,0.00027612507
47,17-2171.00,1.0,high,0.00042071225
