onet_soc,soc_6digit,census_2010,matched
11-1011.00,11-1011,10.0,True
11-1011.03,11-1011,10.0,True
11-1021.00,11-1021,20.0,True
11-2011.00,11-2011,40.0,True
11-2021.00,11-2021,50.0,True
11-2022.00,11-2022,50.0,True
11-2033.00,11-2033,60.0,True
11-3012.00,11-3012,100.0,True
11-3013.00,11-3013,100.0,True
11-3013.01,11-3013,100.0,True
11-3021.00,11-3021,110.0,True
11-3031.00,11-3031,120.0,True
11-3031.01,11-3031,120.0,True
11-3031.03,11-3031,120.0,True
11-3051.00,11-3051,140.0,True
11-3051.01,11-3051,140.0,True
11-3051.02,11-3051,140.0,True
11-3051.03,11-3051,140.0,True
11-3051.04,11-3051,140.0,True
11-3051.06,11-3051,140.0,True
11-3061.00,11-3061,150.0,True
11-3071.00,11-3071,160.0,True
11-3071.04,11-3071,160.0,True
11-3111.00,11-3111,135.0,True
11-3121.00,11-3121,136.0,True
11-3131.00,11-3131,137.0,True
11-9013.00,11-9013,205.0,True
11-9021.00,11-9021,220.0,True
11-9031.00,11-9031,230.0,True
11-9032.00,11-9032,230.0,True
11-9033.00,11-9033,230.0,True
11-9041.00,11-9041,300.0,True
11-9041.01,11-9041,300.0,True
11-9051.00,11-9051,310.0,True
11-9071.00,11-9071,330.0,True
11-9072.00,11-9072,330.0,True
11-9081.00,11-9081,340.0,True
11-9111.00,11-9111,350.0,True
11-9121.00,11-9121,360.0,True
11-9121.01,11-9121,360.0,True
11-9121.02,11-9121,360.0,True
11-9131.00,11-9131,400.0,True
11-9141.00,11-9141,410.0,True
11-9151.00,11-9151,420.0,True
11-9161.00,11-9161,425.0,True
11-9171.00,11-9171,325.0,True
11-9179.01,11-9179,425.0,True
11-9179.02,11-9179,425.0,True
11-9199.01,11-9199,430.0,True
11-9199.02,11-9199,430.0,True
11-9199.08,11-9199,430.0,True
11-9199.09,11-9199,430.0,True
11-9199.10,11-9199,430.0,True
11-9199.11,11-9199,430.0,True
13-1011.00,13-1011,500.0,True
13-1021.00,13-1021,510.0,True
13-1022.00,13-1022,520.0,True
13-1023.00,13-1023,530.0,True
13-1031.00,13-1031,540.0,True
13-1032.00,13-1032,540.0,True
13-1041.00,13-1041,565.0,True
13-1041.01,13-1041,565.0,True
13-1041.03,13-1041,565.0,True
13-1041.04,13-1041,565.0,True
13-1041.06,13-1041,565.0,True
13-1041.07,13-1041,565.0,True
13-1041.08,13-1041,565.0,True
13-1051.00,13-1051,600.0,True
13-1071.00,13-1071,630.0,True
13-1074.00,13-1074,630.0,True
13-1075.00,13-1075,630.0,True
13-1081.00,13-1081,700.0,True
13-1081.01,13-1081,700.0,True
13-1081.02,13-1081,700.0,True
13-1111.00,13-1111,710.0,True
13-1121.00,13-1121,725.0,True
13-1131.00,13-1131,726.0,True
13-1141.00,13-1141,640.0,True
13-1151.00,13-1151,650.0,True
13-1161.00,13-1161,735.0,True
13-1161.01,13-1161,735.0,True
13-1199.04,13-1199,740.0,True
13-1199.05,13-1199,740.0,True
13-1199.06,13-1199,740.0,True
13-1199.07,13-1199,740.0,True
13-2011.00,13-2011,800.0,True
13-2022.00,13-2022,810.0,True
13-2023.00,13-2023,810.0,True
13-2031.00,13-2031,820.0,True
13-2041.00,13-2041,830.0,True
13-2052.00,13-2052,850.0,True
13-2053.00,13-2053,860.0,True
13-2061.00,13-2061,900.0,True
13-2071.00,13-2071,910.0,True
13-2072.00,13-2072,910.0,True
13-2081.00,13-2081,930.0,True
13-2082.00,13-2082,940.0,True
13-2099.01,13-2099,800.0,True
13-2099.04,13-2099,800.0,True
15-1211.00,15-1211,1006.0,True
15-1211.01,15-1211,1006.0,True
15-1212.00,15-1212,1007.0,True
15-1221.00,15-1221,1005.0,True
15-1231.00,15-1231,1050.0,True
15-1232.00,15-1232,1050.0,True
15-1241.00,15-1241,1106.0,True
15-1241.01,15-1241,1106.0,True
15-1242.00,15-1242,1005.0,True
15-1243.00,15-1243,1005.0,True
15-1243.01,15-1243,1005.0,True
15-1244.00,15-1244,1105.0,True
15-1251.00,15-1251,1010.0,True
15-1252.00,15-1252,1020.0,True
15-1253.00,15-1253,1020.0,True
15-1254.00,15-1254,1030.0,True
15-1255.01,15-1255,1030.0,True
15-1299.01,15-1299,1107.0,True
15-1299.02,15-1299,1107.0,True
15-1299.03,15-1299,1107.0,True
15-1299.05,15-1299,1107.0,True
15-1299.08,15-1299,1107.0,True
15-1299.09,15-1299,1107.0,True
15-2011.00,15-2011,1200.0,True
15-2021.00,15-2021,1210.0,True
15-2031.00,15-2031,1220.0,True
15-2041.00,15-2041,1230.0,True
15-2041.01,15-2041,1230.0,True
15-2051.01,15-2051,1200.0,True
15-2051.02,15-2051,1200.0,True
15-2099.01,15-2099,1200.0,True
17-1011.00,17-1011,1300.0,True
17-1012.00,17-1012,1300.0,True
17-1021.00,17-1021,1310.0,True
17-1022.00,17-1022,1310.0,True
17-1022.01,17-1022,1310.0,True
17-2011.00,17-2011,1320.0,True
17-2021.00,17-2021,1330.0,True
17-2031.00,17-2031,1340.0,True
17-2041.00,17-2041,1350.0,True
17-2051.00,17-2051,1360.0,True
17-2051.01,17-2051,1360.0,True
17-2051.02,17-2051,1360.0,True
17-2061.00,17-2061,1400.0,True
17-2071.00,17-2071,1410.0,True
17-2072.00,17-2072,1410.0,True
17-2072.01,17-2072,1410.0,True
17-2081.00,17-2081,1420.0,True
17-2111.00,17-2111,1430.0,True
17-2111.02,17-2111,1430.0,True
17-2112.00,17-2112,1430.0,True
17-2112.01,17-2112,1430.0,True
17-2112.02,17-2112,1430.0,True
17-2112.03,17-2112,1430.0,True
17-2121.00,17-2121,1440.0,True
17-2131.00,17-2131,1450.0,True
17-2141.00,17-2141,1460.0,True
17-2141.01,17-2141,1460.0,True
17-2141.02,17-2141,1460.0,True
17-2151.00,17-2151,1500.0,True
17-2161.00,17-2161,1510.0,True
17-2171.00,17-2171,1520.0,True
17-2199.03,17-2199,1530.0,True
17-2199.05,17-2199,1530.0,True
17-2199.06,17-2199,1530.0,True
17-2199.07,17-2199,1530.0,True
17-2199.08,17-2199,1530.0,True
17-2199.09,17-2199,1530.0,True
17-2199.10,17-2199,1530.0,True
17-2199.11,17-2199,1530.0,True
17-3011.00,17-3011,1540.0,True
17-3012.00,17-3012,1540.0,True
17-3013.00,17-3013,1540.0,True
17-3021.00,17-3021,1540.0,True
17-3022.00,17-3022,1540.0,True
17-3023.00,17-3023,1550.0,True
17-3024.00,17-3024,1540.0,True
17-3024.01,17-3024,1540.0,True
17-3025.00,17-3025,1540.0,True
17-3026.00,17-3026,1540.0,True
17-3026.01,17-3026,1540.0,True
17-3027.00,17-3027,1540.0,True
17-3027.01,17-3027,1540.0,True
17-3029.01,17-3029,1540.0,True
17-3029.08,17-3029,1540.0,True
17-3031.00,17-3031,1560.0,True
19-1011.00,19-1011,1600.0,True
19-1012.00,19-1012,1600.0,True
19-1013.00,19-1013,1600.0,True
19-1021.00,19-1021,1610.0,True
19-1022.00,19-1022,1610.0,True
19-1023.00,19-1023,1610.0,True
19-1029.01,19-1029,1610.0,True
19-1029.02,19-1029,1610.0,True
19-1029.03,19-1029,1610.0,True
19-1029.04,19-1029,1610.0,True
19-1031.00,19-1031,1640.0,True
19-1031.02,19-1031,1640.0,True
19-1031.03,19-1031,1640.0,True
19-1032.00,19-1032,1640.0,True
19-1041.00,19-1041,1650.0,True
19-1042.00,19-1042,1650.0,True
19-2011.00,19-2011,1700.0,True
19-2012.00,19-2012,1700.0,True
19-2021.00,19-2021,1710.0,True
19-2031.00,19-2031,1720.0,True
19-2032.00,19-2032,1720.0,True
19-2041.00,19-2041,1740.0,True
19-2041.01,19-2041,1740.0,True
19-2041.02,19-2041,1740.0,True
19-2041.03,19-2041,1740.0,True
19-2042.00,19-2042,1700.0,True
19-2043.00,19-2043,1700.0,True
19-2099.01,19-2099,1760.0,True
19-3011.00,19-3011,1800.0,True
19-3011.01,19-3011,1800.0,True
19-3022.00,19-3022,1815.0,True
19-3032.00,19-3032,1800.0,True
19-3033.00,19-3033,1820.0,True
19-3034.00,19-3034,1820.0,True
19-3039.02,19-3039,1800.0,True
19-3039.03,19-3039,1800.0,True
19-3041.00,19-3041,1830.0,True
19-3051.00,19-3051,1840.0,True
19-3091.00,19-3091,1860.0,True
19-3092.00,19-3092,1860.0,True
19-3093.00,19-3093,1860.0,True
19-3094.00,19-3094,1860.0,True
19-3099.01,19-3099,1860.0,True
19-4012.00,19-4012,1900.0,True
19-4012.01,19-4012,1900.0,True
19-4013.00,19-4013,1900.0,True
19-4021.00,19-4021,1910.0,True
19-4031.00,19-4031,1920.0,True
19-4042.00,19-4042,1930.0,True
19-4043.00,19-4043,1930.0,True
19-4051.00,19-4051,1940.0,True
19-4051.02,19-4051,1940.0,True
19-4061.00,19-4061,1950.0,True
19-4071.00,19-4071,1900.0,True
19-4092.00,19-4092,1900.0,True
19-4099.01,19-4099,1900.0,True
19-4099.03,19-4099,1900.0,True
19-5011.00,19-5011,3540.0,True
19-5012.00,19-5012,3540.0,True
21-1011.00,21-1011,2000.0,True
21-1012.00,21-1012,2000.0,True
21-1013.00,21-1013,2000.0,True
21-1014.00,21-1014,2000.0,True
21-1015.00,21-1015,2000.0,True
21-1021.00,21-1021,2010.0,True
21-1022.00,21-1022,2010.0,True
21-1023.00,21-1023,2010.0,True
21-1091.00,21-1091,2000.0,True
21-1092.00,21-1092,2015.0,True
21-1093.00,21-1093,2016.0,True
21-1094.00,21-1094,2000.0,True
21-2011.00,21-2011,2040.0,True
21-2021.00,21-2021,2050.0,True
23-1011.00,23-1011,2100.0,True
23-1012.00,23-1012,2105.0,True
23-1021.00,23-1021,2110.0,True
23-1022.00,23-1022,2110.0,True
23-1023.00,23-1023,2110.0,True
23-2011.00,23-2011,2145.0,True
23-2093.00,23-2093,2160.0,True
25-1011.00,25-1011,2200.0,True
25-1021.00,25-1021,2200.0,True
25-1022.00,25-1022,2200.0,True
25-1031.00,25-1031,2200.0,True
25-1032.00,25-1032,2200.0,True
25-1041.00,25-1041,2200.0,True
25-1042.00,25-1042,2200.0,True
25-1043.00,25-1043,2200.0,True
25-1051.00,25-1051,2200.0,True
25-1052.00,25-1052,2200.0,True
25-1053.00,25-1053,2200.0,True
25-1054.00,25-1054,2200.0,True
25-1061.00,25-1061,2200.0,True
25-1062.00,25-1062,2200.0,True
25-1063.00,25-1063,2200.0,True
25-1064.00,25-1064,2200.0,True
25-1065.00,25-1065,2200.0,True
25-1066.00,25-1066,2200.0,True
25-1067.00,25-1067,2200.0,True
25-1071.00,25-1071,2200.0,True
25-1072.00,25-1072,2200.0,True
25-1081.00,25-1081,2200.0,True
25-1082.00,25-1082,2200.0,True
25-1111.00,25-1111,,False
25-1112.00,25-1112,,False
25-1113.00,25-1113,,False
25-1121.00,25-1121,,False
25-1122.00,25-1122,,False
25-1123.00,25-1123,,False
25-1124.00,25-1124,,False
25-1125.00,25-1125,,False
25-1126.00,25-1126,,False
25-1192.00,25-1192,,False
25-1193.00,25-1193,,False
25-1194.00,25-1194,,False
25-2011.00,25-2011,2300.0,True
25-2012.00,25-2012,2300.0,True
25-2021.00,25-2021,2310.0,True
25-2022.00,25-2022,2310.0,True
25-2023.00,25-2023,2310.0,True
25-2031.00,25-2031,2320.0,True
25-2032.00,25-2032,2320.0,True
25-2051.00,25-2051,2330.0,True
25-2056.00,25-2056,2330.0,True
25-2057.00,25-2057,2330.0,True
25-2058.00,25-2058,2330.0,True
25-2059.01,25-2059,2330.0,True
25-3011.00,25-3011,2340.0,True
25-3021.00,25-3021,2340.0,True
25-3031.00,25-3031,2340.0,True
25-3041.00,25-3041,2340.0,True
25-4011.00,25-4011,2400.0,True
25-4012.00,25-4012,2400.0,True
25-4013.00,25-4013,2400.0,True
25-4022.00,25-4022,2430.0,True
25-4031.00,25-4031,2440.0,True
25-9021.00,25-9021,2540.0,True
25-9031.00,25-9031,2540.0,True
25-9042.00,25-9042,2540.0,True
25-9043.00,25-9043,2540.0,True
25-9044.00,25-9044,2540.0,True
27-1011.00,27-1011,2600.0,True
27-1012.00,27-1012,2600.0,True
27-1013.00,27-1013,2600.0,True
27-1014.00,27-1014,2600.0,True
27-1021.00,27-1021,2630.0,True
27-1022.00,27-1022,2630.0,True
27-1023.00,27-1023,2630.0,True
27-1024.00,27-1024,2630.0,True
27-1025.00,27-1025,2630.0,True
27-1026.00,27-1026,2630.0,True
27-1027.00,27-1027,2600.0,True
27-2011.00,27-2011,2700.0,True
27-2012.00,27-2012,2710.0,True
27-2012.03,27-2012,2710.0,True
27-2012.04,27-2012,2710.0,True
27-2012.05,27-2012,2710.0,True
27-2021.00,27-2021,2720.0,True
27-2022.00,27-2022,2720.0,True
27-2023.00,27-2023,2720.0,True
27-2031.00,27-2031,2740.0,True
27-2032.00,27-2032,2740.0,True
27-2041.00,27-2041,2750.0,True
27-2042.00,27-2042,2750.0,True
27-3011.00,27-3011,2800.0,True
27-3023.00,27-3023,2810.0,True
27-3031.00,27-3031,2825.0,True
27-3041.00,27-3041,2830.0,True
27-3042.00,27-3042,2840.0,True
27-3043.00,27-3043,2850.0,True
27-3043.05,27-3043,2850.0,True
27-3091.00,27-3091,2860.0,True
27-3092.00,27-3092,2160.0,True
27-4011.00,27-4011,2900.0,True
27-4012.00,27-4012,2900.0,True
27-4014.00,27-4014,2900.0,True
27-4021.00,27-4021,2910.0,True
27-4031.00,27-4031,2920.0,True
27-4032.00,27-4032,2920.0,True
29-1011.00,29-1011,3000.0,True
29-1021.00,29-1021,3010.0,True
29-1022.00,29-1022,3010.0,True
29-1023.00,29-1023,3010.0,True
29-1024.00,29-1024,3010.0,True
29-1031.00,29-1031,3030.0,True
29-1041.00,29-1041,3040.0,True
29-1051.00,29-1051,3050.0,True
29-1071.00,29-1071,3110.0,True
29-1071.01,29-1071,3110.0,True
29-1081.00,29-1081,3120.0,True
29-1122.00,29-1122,3150.0,True
29-1122.01,29-1122,3150.0,True
29-1123.00,29-1123,3160.0,True
29-1124.00,29-1124,3200.0,True
29-1125.00,29-1125,3210.0,True
29-1126.00,29-1126,3220.0,True
29-1127.00,29-1127,3230.0,True
29-1128.00,29-1128,3235.0,True
29-1129.01,29-1129,3245.0,True
29-1129.02,29-1129,3245.0,True
29-1131.00,29-1131,3250.0,True
29-1141.00,29-1141,3255.0,True
29-1141.01,29-1141,3255.0,True
29-1141.02,29-1141,3255.0,True
29-1141.03,29-1141,3255.0,True
29-1141.04,29-1141,3255.0,True
29-1151.00,29-1151,3256.0,True
29-1161.00,29-1161,3257.0,True
29-1171.00,29-1171,3258.0,True
29-1181.00,29-1181,3140.0,True
29-1211.00,29-1211,3060.0,True
29-1213.00,29-1213,3060.0,True
29-1214.00,29-1214,3060.0,True
29-1215.00,29-1215,3060.0,True
29-1216.00,29-1216,3060.0,True
29-1217.00,29-1217,3060.0,True
29-1218.00,29-1218,3060.0,True
29-1221.00,29-1221,3060.0,True
29-1222.00,29-1222,3060.0,True
29-1223.00,29-1223,3060.0,True
29-1224.00,29-1224,3060.0,True
29-1229.01,29-1229,3060.0,True
29-1229.02,29-1229,3060.0,True
29-1229.03,29-1229,3060.0,True
29-1229.04,29-1229,3060.0,True
29-1229.05,29-1229,3060.0,True
29-1229.06,29-1229,3060.0,True
29-1241.00,29-1241,3060.0,True
29-1291.00,29-1291,3260.0,True
29-1292.00,29-1292,3310.0,True
29-1299.01,29-1299,3260.0,True
29-1299.02,29-1299,3260.0,True
29-2011.00,29-2011,3300.0,True
29-2011.01,29-2011,3300.0,True
29-2011.02,29-2011,3300.0,True
29-2011.04,29-2011,3300.0,True
29-2012.00,29-2012,3300.0,True
29-2012.01,29-2012,3300.0,True
29-2031.00,29-2031,3320.0,True
29-2032.00,29-2032,3320.0,True
29-2033.00,29-2033,3300.0,True
29-2034.00,29-2034,3320.0,True
29-2035.00,29-2035,3320.0,True
29-2036.00,29-2036,3300.0,True
29-2051.00,29-2051,3300.0,True
29-2052.00,29-2052,3420.0,True
29-2053.00,29-2053,3420.0,True
29-2055.00,29-2055,3420.0,True
29-2056.00,29-2056,3420.0,True
29-2057.00,29-2057,3300.0,True
29-2061.00,29-2061,3500.0,True
29-2081.00,29-2081,3520.0,True
29-2091.00,29-2091,3535.0,True
29-2092.00,29-2092,3535.0,True
29-2099.01,29-2099,3535.0,True
29-2099.05,29-2099,3535.0,True
29-2099.08,29-2099,3535.0,True
29-9091.00,29-9091,3540.0,True
29-9092.00,29-9092,3540.0,True
29-9093.00,29-9093,3540.0,True
29-9099.01,29-9099,3540.0,True
31-1121.00,31-1121,3600.0,True
31-1122.00,31-1122,4610.0,True
31-1131.00,31-1131,3600.0,True
31-1132.00,31-1132,3600.0,True
31-1133.00,31-1133,3600.0,True
31-2011.00,31-2011,3610.0,True
31-2012.00,31-2012,3610.0,True
31-2021.00,31-2021,3620.0,True
31-2022.00,31-2022,3620.0,True
31-9011.00,31-9011,3630.0,True
