SOC_2018,Census_2010,Census_2018,Title_2018
11-1011,10,10,Chief Executives
11-1021,20,20,General and Operations Managers
11-1031,30,30,Legislators
11-2011,40,40,Advertising and Promotions Managers
11-2021,50,51,Marketing Managers
11-2022,50,52,Sales Managers
11-2030,60,60,Public Relations and Fundraising Managers
11-3012,100,101,Administrative Services Managers
11-3013,100,102,Facilities Managers
11-3021,110,110,Computer and Information Systems Managers
11-3031,120,120,Financial Managers
11-3111,135,135,Compensation and Benefits Managers
11-3121,136,136,Human Resources Managers
11-3131,137,137,Training and Development Managers
11-3051,140,140,Industrial Production Managers
11-3061,150,150,Purchasing Managers
11-3071,160,160,"Transportation, Storage, and Distribution Managers"
11-9013,205,205,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021,220,220,Construction Managers
11-9030,230,230,Education and Childcare Administrators 
11-9041,300,300,Architectural and Engineering Managers
11-9051,310,310,Food Service Managers
11-9171,325,325,Funeral Home Managers
11-9070,330,335,Entertainment and Recreation Managers
11-9081,340,340,Lodging Managers
11-9111,350,350,Medical and Health Services Managers
11-9121,360,360,Natural Sciences Managers
11-9131,400,400,Postmasters and Mail Superintendents
11-9141,410,410,"Property, Real Estate, and Community Association Managers"
11-9151,420,420,Social and Community Service Managers
11-9161,425,425,Emergency Management Directors
11-9179,425,426,"Personal Service Managers, All Other"
11-9199,430,440,"Managers, All Other"
13-1011,500,500,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021,510,510,"Buyers and Purchasing Agents, Farm Products"
13-1022,520,520,"Wholesale and Retail Buyers, Except Farm Products"
13-1023,530,530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
13-1030,540,540,"Claims Adjusters, Appraisers, Examiners, and Investigators"
13-1041,565,565,Compliance Officers
13-1051,600,600,Cost Estimators
13-1070,630,630,Human Resources Workers
13-1081,700,700,Logisticians
13-1082,700,705,Project Management Specialists
13-1111,710,710,Management Analysts
13-1121,725,725,"Meeting, Convention, and Event Planners"
13-1131,726,726,Fundraisers
13-1141,640,640,"Compensation, Benefits, and Job Analysis Specialists"
13-1151,650,650,Training and Development Specialists
13-1161,735,735,Market Research Analysts and Marketing Specialists
13-1199,740,750,"Business Operations Specialists, All Other"
13-2011,800,800,Accountants and Auditors
13-2020,810,810,Property Appraisers and Assessors
13-2031,820,820,Budget Analysts
13-2041,830,830,Credit Analysts
13-2051,840,845,Financial and Investment Analysts
13-2052,850,850,Personal Financial Advisors
13-2053,860,860,Insurance Underwriters
13-2061,900,900,Financial Examiners
13-2070,910,910,Credit Counselors and Loan Officers
13-2081,930,930,"Tax Examiners and Collectors, and Revenue Agents"
13-2082,940,940,Tax Preparers
13-20XX,950,960,Other Financial Specialists
15-1221,1005,1005,Computer and Information Research Scientists
15-1211,1006,1006,Computer Systems Analysts
15-1299,1107,1108,"Computer Occupations, All Other"
15-1251,1010,1010,Computer Programmers
15-1252,1020,1021,Software Developers
15-1253,1020,1022,Software Quality Assurance Analysts and Testers
