occ_code,title,zone,cert_importance,cert_normalized
11-1011.00,Chief Executives,5,3.01,1.953488372093023
11-1011.03,Chief Sustainability Officers,5,2.7,1.6330749354005167
11-1021.00,General and Operations Managers,4,1.88,0.7855297157622737
11-1031.00,Legislators,4,2.615,1.5452196382428942
11-2011.00,Advertising and Promotions Managers,4,1.98,0.8888888888888887
11-2021.00,Marketing Managers,4,2.615,1.5452196382428942
11-2022.00,Sales Managers,4,1.62,0.5167958656330749
11-2032.00,Public Relations Managers,4,2.615,1.5452196382428942
11-2033.00,Fundraising Managers,4,1.5,0.39276485788113685
11-3012.00,Administrative Services Managers,3,2.615,1.5452196382428942
11-3013.00,Facilities Managers,3,2.78,1.7157622739018084
11-3013.01,Security Managers,4,3.5,2.4599483204134365
11-3021.00,Computer and Information Systems Managers,4,2.615,1.5452196382428942
11-3031.00,Financial Managers,4,3.2,2.149870801033592
11-3031.01,Treasurers and Controllers,4,3.52,2.4806201550387597
11-3031.03,Investment Fund Managers,5,2.615,1.5452196382428942
11-3051.00,Industrial Production Managers,4,1.66,0.5581395348837207
11-3051.01,Quality Control Systems Managers,4,3.0,1.9431524547803616
11-3051.02,Geothermal Production Managers,3,2.615,1.5452196382428942
11-3051.03,Biofuels Production Managers,4,2.615,1.5452196382428942
11-3051.04,Biomass Power Plant Managers,4,2.78,1.7157622739018084
11-3051.06,Hydroelectric Production Managers,3,2.615,1.5452196382428942
11-3061.00,Purchasing Managers,4,3.42,2.3772609819121446
11-3071.00,"Transportation, Storage, and Distribution Managers",4,2.615,1.5452196382428942
11-3071.04,Supply Chain Managers,4,2.615,1.5452196382428942
11-3111.00,Compensation and Benefits Managers,4,3.48,2.4392764857881133
11-3121.00,Human Resources Managers,4,3.18,2.1291989664082687
11-3131.00,Training and Development Managers,4,3.0,1.9431524547803616
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4,2.615,1.5452196382428942
11-9021.00,Construction Managers,4,2.85,1.7881136950904393
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4,2.615,1.5452196382428942
11-9032.00,"Education Administrators, Kindergarten through Secondary",5,4.0,2.9767441860465116
11-9033.00,"Education Administrators, Postsecondary",5,2.36,1.2816537467700255
11-9041.00,Architectural and Engineering Managers,5,3.1,2.046511627906977
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4,2.615,1.5452196382428942
11-9051.00,Food Service Managers,2,2.87,1.8087855297157622
