Census_Code,SOC_Code,Description
10,11-1011,Chief executives
20,11-1021,General and operations managers
30,11-1031,Legislators
40,11-2011,Advertising and promotions managers
50,11-2020,Marketing and sales managers
60,11-2031,Public relations and fundraising managers
100,11-3011,Administrative services managers
110,11-3021,Computer and information systems managers
120,11-3031,Financial managers
135,11-3111  ,Compensation and benefits managers
136,11-3121  ,Human resources managers
137,11-3131  ,Training and development managers
140,11-3051,Industrial production managers
150,11-3061,Purchasing managers
160,11-3071,"Transportation, storage, and distribution managers"
205,11-9013,"Farmers, ranchers, and other agricultural managers"
220,11-9021,Construction managers
230,11-9030,Education administrators
300,11-9041,Architectural and engineering managers
310,11-9051,Food service managers
325,11-9061,Funeral service managers
330,11-9071,Gaming managers
340,11-9081,Lodging managers
350,11-9111,Medical and health services managers
360,11-9121,Natural sciences managers
400,11-9131,Postmasters and mail superintendents
410,11-9141,"Property, real estate, and community association managers"
420,11-9151,Social and community service managers
425,11-9161,Emergency management directors
430,11-9199,"Managers, all other"
500,13-1011 ,"Agents and business managers of artists, performers, and athletes"
510,13-1021 ,"Buyers and purchasing agents, farm products"
520,13-1022 ,"Wholesale and retail buyers, except farm products"
530,13-1023 ,"Purchasing agents, except wholesale, retail, and farm products"
540,13-1030 ,"Claims adjusters, appraisers, examiners, and investigators"
565,13-1041,Compliance officers
600,13-1051,Cost estimators
630,13-1070 ,Human resources workers
640,13-1141,"Compensation, benefits, and job analysis specialists"
650,13-1151,Training and development specialists
700,13-1081 ,Logisticians
710,13-1111 ,Management analysts
725,13-1121 ,"Meeting, convention, and event planners"
726,13-1131,Fundraisers
735,13-1161,Market research analysts and marketing specialists
740,13-1199 ,"Business operations specialists, all other"
800,13-2011 ,Accountants and auditors
810,13-2021 ,Appraisers and assessors of real estate
820,13-2031 ,Budget analysts
830,13-2041 ,Credit analysts
840,13-2051 ,Financial analysts
850,13-2052 ,Personal financial advisors
860,13-2053 ,Insurance underwriters
900,13-2061 ,Financial examiners
910,13-2070 ,Credit counselors and loan officers
930,13-2081 ,"Tax examiners and collectors, and revenue agents"
940,13-2082,Tax preparers
950,13-2099 ,"Financial specialists, all other"
1005,15-1111,Computer and information research scientists
1006,15-1121 ,Computer systems analysts
1007,15-1122,Information security analysts
1010,15-1131 ,Computer programmers
1020,15-113X  ,"Software developers, applications and systems software"
1030,15-1134,Web developers
1050,15-1150  ,Computer support specialists
1060,15-1141 ,Database administrators
1105,15-1142  ,Network and computer systems administrators
1106,15-1143  ,Computer network architects 
1107,15-1199,"Computer occupations, all other"
1200,15-2011 ,Actuaries
1210,15-2021 ,Mathematicians
1220,15-2031 ,Operations research analysts
1230,15-2041 ,Statisticians
1240,15-2090,Miscellaneous mathematical science occupations
1300,17-1010 ,"Architects, except naval"
1310,17-1020 ,"Surveyors, cartographers, and photogrammetrists"
1320,17-2011 ,Aerospace engineers
1330,17-2021,Agricultural engineers
1340,17-2031,Biomedical engineers
1350,17-2041 ,Chemical engineers
1360,17-2051 ,Civil engineers
1400,17-2061 ,Computer hardware engineers
1410,17-2070 ,Electrical and electronics engineers
1420,17-2081 ,Environmental engineers
1430,17-2110 ,"Industrial engineers, including health and safety"
1440,17-2121 ,Marine engineers and naval architects
1450,17-2131 ,Materials engineers
1460,17-2141 ,Mechanical engineers
1500,17-2151 ,"Mining and geological engineers, including mining safety engineers"
1510,17-2161 ,Nuclear engineers
1520,17-2171 ,Petroleum engineers
1530,17-2199 ,"Engineers, all other"
1540,17-3010 ,Drafters
1550,17-3020 ,"Engineering technicians, except drafters"
1560,17-3031 ,Surveying and mapping technicians
1600,19-1010,Agricultural and food scientists
1610,19-1020 ,Biological scientists
1640,19-1030 ,Conservation scientists and foresters
1650,19-1040 ,Medical scientists
1660,19-1099,"Life scientists, all other"
1700,19-2010 ,Astronomers and physicists
1710,19-2021 ,Atmospheric and space scientists
1720,19-2030 ,Chemists and materials scientists
1740,19-2040 ,Environmental scientists and geoscientists
1760,19-2099 ,"Physical scientists, all other"
1800,19-3011 ,Economists
1815,19-3022 ,Survey researchers
1820,19-3030 ,Psychologists
1830,19-3041 ,Sociologists
1840,19-3051 ,Urban and regional planners
1860,19-3090,Miscellaneous social scientists and related workers
1900,19-4011,Agricultural and food science technicians
1910,19-4021,Biological technicians
1920,19-4031,Chemical technicians
1930,19-4041,Geological and petroleum technicians
1940,19-4051,Nuclear technicians
1950,19-4061,Social science research assistants
1965,19-4090,"Miscellaneous life, physical, and social science technicians"
2000,21-1010,Counselors
2010,21-1020,Social workers
2015,21-1092,Probation officers and correctional treatment specialists
2016,21-1093,Social and human service assistants
2025,21-109X,"Miscellaneous community and social service specialists, including health educators and community health workers"
2040,21-2011,Clergy
2050,21-2021,"Directors, religious activities and education"
2060,21-2099 ,"Religious workers, all other"
2100,23-1011 ,Lawyers
2105,23-1012,Judicial law clerks
2110,23-1020,"Judges, magistrates, and other judicial workers"
2145,23-2011,Paralegals and legal assistants
2160,23-2090,Miscellaneous legal support workers
2200,25-1000,Postsecondary teachers
2300,25-2010 ,Preschool and kindergarten teachers
2310,25-2020 ,Elementary and middle school teachers
2320,25-2030 ,Secondary school teachers
2330,25-2050 ,Special education teachers
2340,25-3000,Other teachers and instructors
2400,25-4010,"Archivists, curators, and museum technicians"
2430,25-4021,Librarians
2440,25-4031,Library technicians
2540,25-9041 ,Teacher assistants
2550,25-90XX,"Other education, training, and library workers"
2600,27-1010 ,Artists and related workers
2630,27-1020 ,Designers
2700,27-2011,Actors
2710,27-2012,Producers and directors
2720,27-2020,"Athletes, coaches, umpires, and related workers"
2740,27-2030,Dancers and choreographers
2750,27-2040,"Musicians, singers, and related workers"
2760,27-2099,"Entertainers and performers, sports and related workers, all other"
2800,27-3010,Announcers
2810,27-3020,"News analysts, reporters and correspondents"
2825,27-3031,Public relations specialists
2830,27-3041,Editors
2840,27-3042,Technical writers
2850,27-3043,Writers and authors
2860,27-3090,Miscellaneous media and communication workers
2900,27-4010,Broadcast and sound engineering technicians and radio operators
2910,27-4021,Photographers
2920,27-4030,"Television, video, and motion picture camera operators and editors"
2960,27-4099,"Media and communication equipment workers, all other"
3000,29-1011,Chiropractors
3010,29-1020 ,Dentists
3030,29-1031,Dietitians and nutritionists
3040,29-1041,Optometrists
3050,29-1051,Pharmacists
3060,29-1060 ,Physicians and surgeons
3110,29-1071,Physician assistants
3120,29-1081,Podiatrists
3140,29-1181,Audiologists
3150,29-1122,Occupational therapists
3160,29-1123 ,Physical therapists
3200,29-1124,Radiation therapists
3210,29-1125,Recreational therapists
3220,29-1126,Respiratory therapists
3230,29-1127,Speech-language pathologists
3235,29-1128,Exercise physiologists
3245,29-1129,"Therapists, all other"
3250,29-1131,Veterinarians
3255,29-1141,Registered nurses
3256,29-1151,Nurse anesthetists
3257,29-1161,Nurse midwives
3258,29-1171,Nurse practitioners
3260,29-1199 ,"Health diagnosing and treating practitioners, all other"
3300,29-2010,Clinical laboratory technologists and technicians
3310,29-2021,Dental hygienists
3320,29-2030 ,Diagnostic related technologists and technicians
3400,29-2041,Emergency medical technicians and paramedics
3420,29-2050 ,Health practitioner support technologists and technicians
3500,29-2061,Licensed practical and licensed vocational nurses
3510,29-2071,Medical records and health information technicians
3520,29-2081,"Opticians, dispensing"
3535,29-2090,Miscellaneous health technologists and technicians
3540,29-9000,Other healthcare practitioners and technical occupations
3600,31-1010,"Nursing, psychiatric, and home health aides"
3610,31-2010,Occupational therapy assistants and aides
3620,31-2020,Physical therapist assistants and aides
3630,31-9011,Massage therapists
3640,31-9091,Dental assistants
3645,31-9092,Medical assistants
3646,31-9094,Medical transcriptionists
3647,31-9095,Pharmacy aides
3648,31-9096,Veterinary assistants and laboratory animal caretakers
3649,31-9097,Phlebotomists
3655,31-909X,"Healthcare support workers, all other, including medical equipment preparers"
3700,33-1011,First-line supervisors of correctional officers
3710,33-1012 ,First-line supervisors of police and detectives
3720,33-1021,First-line supervisors of fire fighting and prevention workers
3730,33-1099,"First-line supervisors of protective service workers, all other"
3740,33-2011,Firefighters
3750,33-2020 ,Fire inspectors
